"Model","Unit","Lesson","Word (EN)","Description (EN)","Word (ES)","Description (ES)"
"Grade 6",6,12,"Accuracy","Measurement of the truth. How close something is to the fact or the quality of being correct.","Exactitud","Medición de la verdad. Que tan cerca algo puede estar a los hechos o la cualidad de estar correcto."
"Grade 6",6,12,"Bias","Prejudice in favor of or against one thing, person, or group compared with another, creating an unfair judgment or decision.","Tendencia","Prejuicio a favor o en contra de algo, una persona, o un grupo en comparación con otro, creando una injusta opinión o decisión."
"Grade 6",6,12,"Credibility","The quality of being trusted (i.e., through words, actions, and/or decisions, among other things).","Credibilidad","La cualidad de ser creíble, confiable. (i.e. Por vía de las palabras, y/o decisiones, entre otras cosas)."
"Grade 6",6,13,"Character","The person or object playing a role in a story. There can be one or many characters in a story, and they can be main characters or supporting characters.","Personaje","Persona u objeto representando un rol en una historia. Puede haber uno o varios personajes en una historia, y pueden ser personajes principales o personajes secundarios."
"Grade 6",6,13,"Climax","A point in a story with the most build-up of intensity or conflict. Most climax points are followed by a resolution.","Clímax","El punto en una historia donde la intensidad o el conflicto esta al máximo."
"Grade 6",6,13,"Conflict","A struggle or disagreement between two or more characters or within a character.","Conflicto","Una lucha o desacuerdo entre dos o más personajes en una historia o entre un mismo personaje (conflicto interno)."
"Grade 6",6,13,"Resolution","The solution or ending of a story when all conflict reaches an end.","Resolución","La solución o final de una historia cuando todos los conflictos llegan a un final."
"Grade 6",6,13,"Storytelling","The act of sharing stories with people.","Narración","El acto de compartir historias con otras personas."
"Grade 6",6,15,"Brainstorming","The process during which a group of people generate a list of ideas.","Intercambio de ideas","El proceso por el que un grupo de personas generan una lista de ideas."
"Grade 6",6,15,"Story pitch (pitch)","A description of a potential story idea.","Propuesta de historias o cuentos","La descripción de una idea potencial para una historia."
"Grade 6",6,15,"Character arc","The growth or journey of the protagonist in a story as it unfolds.","Arco del personaje","El crecimiento a través de un protagonista en el desarrollo de una historia."
"Grade 6",6,17,"180 rule","An imaginary line used in filmmaking to keep the actors of a scene in the same place as the camera moves around the room.","Regla 180","Una línea imaginaria usada en la cinematografía para que los actores de una escena permanezcan en el mismo lugar cuando la cámara se mueva alrededor de la habitación."
"Grade 6",6,17,"Background","In filmmaking, the space further away from the camera.","Fondo","En la cinematografía, el espacio más lejano a la cámara."
"Grade 6",6,17,"Close-up shot","A type of shot in filmmaking where the camera moves in very closely on a character or object.","Toma (plano) de primer plano","Un tipo de toma (al filmar una escena) en la cinematografía en el cual la cámara se mueve muy cerca de un personaje u objecto."
"Grade 6",6,17,"Establishing shot","A type of shot in filmmaking where the camera is far away from the scene in order to show the background location.","Toma Establecedora","Un tipo de toma en la cinematografía donde la cámara está muy lejos de la escena con el propósito de mostrar el fondo de una ubicación."
"Grade 6",6,17,"Over the shoulder shot","A shot that focuses on a character but includes the back of the shoulder or head of another person.","Plano sobre el hombro","Una toma que se enfoca en un personaje pero que también incluye la parte posterior del hombro o la cabeza de otra persona."
"Grade 6",6,18,"Animatic","The rough-draft version of a film timed out accordingly, using storyboards and sound.","Montaje de la Animación (""Animatic"")","El borrador o primera versión de una película usando la secuencia correcta, guiones gráficos y sonido."
"Grade 6",6,18,"Constructive criticism","Verbal or written feedback to improve outcome in a positive manner.","Crítica constructiva","Comentarios en forma verbal o escrita para mejorar un resultado de manera positiva."
"Grade 6",6,19,"Copyright","A legal right of usage set only by the owner unless otherwise stated with exceptions.","Copyright (Derechos de Autor)","El derecho legal de uso solo por el dueño o creador, al menos que sea especificado con excepciones."
"Grade 6",6,19,"Fair use","A policy used to set rules on how to use copyright materials within limits without asking the owner for permission.","Uso legítimo","Póliza utilizada como lista de reglas para saber utilizar materiales dentro de los límites sin tener que pedirle permiso al dueño (autor o creador)."
"Grade 6",6,23,"Portfolio","A collection of resources (e.g., videos, images, text, hyperlinks) that describe a piece of work.","Portafolio","Una colección de recursos (por ejemplo, videos, imágenes, texto, enlaces) que describen una pequeña parte de trabajo."
"Grade 6",6,24,"Editing","In filmmaking, the act of creating a coherent message by adding transitions, special effects, and music, among other things.","Edición","En la producción de películas, el acto de crear un mensaje coherente agregando transiciones, efectos especiales, y música, entre otras cosas."
"Grade 7",1,10,"Ocean ridge","An underwater mountain system that forms when hot magma rises through a gap in the Earth`s crust and forms a new part of ocean floor.","Dorsal Oceánica","Una cadena montañosa bajo el agua que se forma cuando magma caliente se eleva a través de una brecha en la corteza terrestre y crea una parte nueva de fondo oceánico."
"Grade 7",1,10,"Ocean trench","A long, narrow depression of the seafloor where ocean crust is pushed back down into the Earth`s mantle.","Fosa oceánica","Una depresión larga y estrecha del fondo marino donde la corteza del océano se empuja hacia abajo del manto de la Tierra."
"Grade 7",1,10,"Subduction","A geologic process in which one edge of one crustal plate is forced below the edge of another.","Subducción","
Un proceso geológico en el que un borde de una placa cortical se fuerza debajo del borde de otra.
"
"Grade 7",1,20,"Sustainability","Actions, processes, or resources that meet the needs of the present generation without compromising the needs of future generations.","Sustentabilidad","Acciones, procesos o recursos que satisfacen las necesidades de la generación actual sin comprometer las necesidades de las generaciones futuras."
"Grade 7",2,3,"Fossil fuel","Fuel created by natural processes. Fossil fuel can form when plants and animals die and are gradually buried by layers of rock. Over millions of years, different types of fossil fuels (e.g., coal, oil, and natural gas) form.","Combustible fósil","Combustible creado por procesos naturales. El combustible fósil se puede formar cuando las plantas y los animales mueren y gradualmente van siendo enterrados entre capas de roca. Durante millones de años, diferentes tipos de combustibles fósiles (como el carbón, petróleo, y el gas natural) se forman."
"Grade 7",2,3,"Petroleum","A liquid or semi-solid fossil fuel that can be refined to produce fuels such as gasoline, kerosene, and diesel oil. Also known as oil.","Petróleo","Un combustible fósil líquido o semisólido que se puede refinar para producir combustibles como gasolina, queroseno y diesel."
"Grade 7",2,8,"Nonrenewable resource","A natural resource that exists in a fixed amount in different places on Earth and can only be replaced (if at all) by geological processes that take place over hundreds of millions of years.","Recurso no renovable","Un recurso natural que existe en una cantidad fija en diferentes lugares de la Tierra y solo puede ser reemplazado (si es que se puede reemplazar) por procesos geológicos que ocurren durante cientos de millones de años."
"Grade 7",2,8,"Renewable resource","A resource that can be produced, regrown, or reused fast enough to keep up with how quickly it is used. For example, wind, solar, and tidal energy are renewable resources since they will last virtually forever.","Recurso renovable","Un recurso que puede ser producido, regenerado, o volver a ser reutillizado tan rápido como es utilizado. Por ejemplo, el viento, la energía solar, y la energía mareomotriz son energías renovables porque durarán para siempre."
"Grade 7",2,11,"Hydrocarbon","A molecule that consists of only hydrogen (H) and carbon (C) atoms.","Hidrocarburo","Una molécula que consiste de átomos de hidrógeno (H) y carbono (C)."
"Grade 7",2,11,"Molecule","Comprised of two or more atoms (the building blocks of all things). One characteristic of molecules is how quickly they vibrate and move when temperatures increase.","Molécula","Compuesta de dos o más átomos (componentes esenciales de todas las cosas). Una característica de los átomos es lo rápido que vibran y se mueven cuando la temperatura incrementa."
"Grade 7",2,12,"Boiling point","The temperature at which a substance changes from a liquid state to a gas state.","Punto de ebullición (hervor)","La temperatura a la cual una sustancia cambia de un estado líquido a un estado gaseoso."
"Grade 7",2,12,"Distillation","The process of purifying a liquid by boiling the liquid and collecting the condensation.","Destilación","El proceso de purificación de un líquido, a medida de hervir el líquido y después recoger la condensación "
"Grade 7",2,12,"Fractional distillation","The process of separating liquids in a mixture based on their different boiling points.","Destilación Fraccional","El proceso de separación de líquidos en una mezcla basado en sus diferentes puntos de ebullición (hervor)"
"Grade 7",2,16,"Cross-link","A bond that links one polymer chain to another.","Reticulación/ Entrecruzamiento","El enlace que conecta una cadena de polímeros a otra."
"Grade 7",2,16,"Monomer","An atom or small molecule that can bond chemically with other molecules to form a large molecule.","Monómero","Un átomo o molécula pequeña que puede unirse químicamente a otras moléculas para formar una molécula más grande."
"Grade 7",2,16,"Naphtha","A light hydrocarbon refined from petroleum that is used to make plastics.","Nafta","Un hidrocarburo ligero, refinado del petróleo que se utiliza para hacer plásticos."
"Grade 7",2,16,"Polymer","A large molecule made up of many repeating subunits (monomers) that are chemically bonded together.","Polímero","Una molécula grande formada por muchas subunidades repetitivas (monómeros) que están unidas químicamente."
"Grade 7",2,16,"Viscosity","The ability of a substance to flow.","Viscosidad","La habilidad de una sustancia a fluir."
"Grade 7",2,21,"Combustion","A chemical reaction involving oxygen that produces heat and light. Combustion is also known as burning.","Combustión","Reacción química que involucra oxígeno que produce calor y luz. La combustión también se conoce como quemar."
"Grade 7",2,30,"Public service announcement (PSA)","A message to help raise awareness about a social issue.","Anuncio de servicio público (ASP)","Un mensaje para ayudar a crear conciencia sobre un problema social"
"Grade 7",2,30,"Script","A written version of something, written in a way that tells actors exactly what to say and do.","Guión","Una versión escrita de algo, diseñada de una manera que le dice a los actores exactamente qué decir y hacer."
"Grade 7",2,35,"Changemaker","A term coined by a social entrepreneurship organization, meaning one who desires change in the world and gathers knowledge and resources to make that change happen.","Emprendedores sociales","Un término inventado por una organización de emprendimiento social, lo que significa que es alguien que desea ver un cambio en el mundo y recopila conocimientos y recursos para que ese cambio se produzca."
"Grade 7",2,35,"Consumption","The using up of a resource.","Consumo","El uso de un recurso."
"Grade 7",2,35,"Cradle to cradle","A method of product design and production that mimics natural cycles and takes into account both production and disposal. The emphasis is on natural, non-toxic, and reusable materials.","De la cuna a la cuna","Un método de diseño y producción de productos que imita los ciclos naturales y toma en cuenta tanto el proceso de producción como el de la eliminación (desecho) del producto. El énfasis está en los materiales naturales, los no tóxicos y los materiales reutilizables"
"Grade 7",2,35,"Recycle","To break down an item into materials that are then reprocessed and reused. Materials that can be recycled include cardboard, paper, plastic, glass, aluminum, and electronic waste.","Reciclar","
La descomposición de un artículo a materiales que luego son nuevamente procesados y reutilizados. Los materiales que se pueden reciclar incluyen cartón, papel, plástico, vidrio, aluminio y desechos electrónicos
"
"Grade 7",2,35,"Reduce","To buy and use less; to limit the number of purchases.","Reducir","Comprar y usar menos cosas; limitar el número de compras."
"Grade 7",2,35,"Rethink","To reconsider options and think about the impact on the environment before doing anything.","Repensar","Reconsiderar opciones y reflexionar sobre el impacto en el medio ambiente antes de hacer cualquier cosa."
"Grade 7",2,35,"Reuse","To use items for the same or different purpose(s) as much as possible before replacing them.","Reusar","Usar los artículos para el mismo o diferente propósito lo más posible antes de reemplazarlos."
"Grade 7",2,35,"Upcycle","To reuse discarded objects or materials in such a way that you create a product often higher in quality or value than the original.","Reutilizar y mejorar","Utilizar objetos o materiales desechados para crear un producto con mayor calidad o valor que el original."
"Grade 7",3,3,"Mass","The amount of matter in a substance.","Masa","La cantidad de materia en una sustancia."
"Grade 7",3,5,"Chemical reaction","A process during which one or more substances converts into one or more different substances.","Reacción química  ","Proceso durante el cual una o más sustancias se transforman en otra o más sustancias diferentes."
"Grade 7",3,5,"Product","A substance formed during a chemical reaction.","Producto","Una sustancia formulada durante una reacción química "
"Grade 7",3,5,"Reactant","A substance that undergoes a change during a chemical reaction.","Reactivo","Sustancia que pasa por un cambio durante una reacción química."
"Grade 7",3,9,"Endothermic","Describing a chemical process that absorbs thermal energy.","Endotérmico","Describe un proceso químico que absorbe energía térmica"
"Grade 7",3,9,"Exothermic","Describing a chemical process that releases thermal energy.","Exotérmico","Describe el proceso químico que emite energía térmica (en forma de calor)"
"Grade 7",4,3,"Refute","To prove an argument or proposition to be false.","Refutar","Demostrar que un argumento o una proposición son falsos."
"Grade 7",4,3,"Malnutrition","The chronic lack of access to adequate quantities of healthy food.","Desnutrición","Falta de acceso de alimentos saludables a cantidades adecuadas en una manera crónica."
"Grade 7",4,4,"Arable","Suitable for farming.","Cultivable","Lugar adecuado para la agricultura"
"Grade 7",4,4,"Cereal","Grains such as wheat and rice.","Cereal","Granos como trigo y arroz"
"Grade 7",4,4,"Hectare","10,000 square meters, or a square 100 meters on a side.","Hectárea","10,000 metros cuadrados, o un cuadrado de 100 metros en cada lado.  "
"Grade 7",4,4,"Yield","The amount of food that can be grown in an area of land.","Cosecha","La cantidad de alimentos que se pueden cultivar en un área."
"Grade 7",4,7,"Dirt","Soil that has lost its potential to support life due to pollution, overuse, or similar phenomena.","Tierra Baldía","La tierra que ha perdido su potencial para cultivar debido a contaminación, uso excesivo o hechos similares."
"Grade 7",4,7,"Salinization","An increase in the salt content of soil due to sea-water flooding, prolonged drought, or a similar event.","Salinización","Un aumento en el contenido de sal en la tierra debido a inundaciones de agua de mar, sequía prolongada o un evento similar."
"Grade 7",5,3,"Storm surge","An abnormal rise in sea level accompanying a hurricane or other intense storm. Its height is the difference between the observed level of the sea surface and the level that would have occurred in the absence of the storm.","Marejada Ciclónica","Un aumento anormal en el nivel del mar que acompaña a un huracán u otra tormenta intensa. Su altura es la diferencia entre el nivel observado de la superficie del mar y el nivel que ocurriría en ausencia de la tormenta."
"Grade 7",5,4,"Storm surge","An abnormal rise in sea level accompanying a hurricane or other intense storm. Its height is the difference between the observed level of the sea surface and the level that would have occurred in the absence of the storm.","Marejada Ciclónica","Un aumento anormal en el nivel del mar que acompaña a un huracán u otra tormenta intensa. Su altura es la diferencia entre el nivel observado de la superficie del mar y el nivel que ocurriría en ausencia de la tormenta."
"Grade 7",5,5,"Condensation","The process by which a vapor or gas transitions to a liquid.","Condensación","El proceso en el que un vapor o gas se convierte en líquido."
"Grade 7",5,5,"Evaporation","The process by which a liquid transitions to a vapor (gas).","Evaporación","El proceso en el que un líquido se convierte en vapor (gas)."
"Grade 7",5,5,"Freezing","The process by which a liquid transitions to a solid.","Solidificación","El proceso en el cual un líquido se transforma a un sólido.   "
"Grade 7",5,5,"Melting","The process by which a solid transitions to a liquid.","Derretir","El proceso en el cual un material sólido se transforman a líquido.   "
"Grade 7",5,5,"Precipitation","The process by which water falls to the ground due to gravity. Examples include rain, snow, and hail.","Precipitación","El proceso por el cual el agua cae al suelo debido a la gravedad. Ejemplos incluyen lluvia, nieve, y granizo."
"Grade 7",5,6,"Condensation","The process by which a vapor or gas transitions to a liquid.","Condensación","El proceso en el que un vapor o gas se convierte en líquido."
"Grade 7",5,6,"Evaporation","The process by which a liquid transitions to a vapor (gas).","Evaporación","El proceso en el que un líquido se convierte en vapor (gas)."
"Grade 7",5,6,"Freezing","The process by which a liquid transitions to a solid.","Solidificación","El proceso en el cual un líquido se transforma a un sólido.   "
"Grade 7",5,6,"Melting","The process by which a solid transitions to a liquid.","Derretir","El proceso en el cual un material sólido se transforman a líquido.   "
"Grade 7",5,6,"Precipitation","The process by which water falls to the ground due to gravity. Examples include rain, snow, and hail.","Precipitación","El proceso por el cual el agua cae al suelo debido a la gravedad. Ejemplos incluyen lluvia, nieve, y granizo."
"Grade 7",5,7,"Condensation","The process by which a vapor or gas transitions to a liquid.","Condensación","El proceso en el que un vapor o gas se convierte en líquido."
"Grade 7",5,7,"Evaporation","The process by which a liquid transitions to a vapor (gas).","Evaporación","El proceso en el que un líquido se convierte en vapor (gas)."
"Grade 7",5,7,"Freezing","The process by which a liquid transitions to a solid.","Solidificación","El proceso en el cual un líquido se transforma a un sólido.   "
"Grade 7",5,7,"Melting","The process by which a solid transitions to a liquid.","Derretir","El proceso en el cual un material sólido se transforman a líquido.   "
"Grade 7",5,7,"Precipitation","The process by which water falls to the ground due to gravity. Examples include rain, snow, and hail.","Precipitación","El proceso por el cual el agua cae al suelo debido a la gravedad. Ejemplos incluyen lluvia, nieve, y granizo."
"Grade 7",5,8,"Precipitation","The process by which water falls to the ground due to gravity. Examples include rain, snow, and hail.","Precipitación","El proceso por el cual el agua cae al suelo debido a la gravedad. Ejemplos incluyen lluvia, nieve, y granizo."
"Grade 7",5,9,"Thermal expansion","The tendency of particles to move farther apart in volume as heat is added; for example, an increase in ocean volume due to thermal energy transfer from the atmosphere. The result is a rising global mean sea level.","Expansión térmica","La tendencia de las partículas a moverse más lejos en volumen a medida que se agrega calor; por ejemplo, un aumento en el volumen del océano debido a la transferencia de energía térmica de la atmósfera. El resultado es un aumento global del nivel promedio del mar."
"Grade 7",5,10,"Sea level","The height of the ocean surface at any given location.","Nivel del mar ","La altura de la superficie del océano en cualquier locación. El nivel del mar se ha medido en los últimos siglos utilizando mareómetros y también se ha estimado en el pasado usando registros geológicos. El nivel del mar geocéntrico (represetando la tierra al centro del universo) se ha medido en las últimas dos décadas utilizando la altimetría satelital. El nivel promedio del mar es el promedio de un lugar eliminando la variabilidad en períodos más cortos. A menos que se especifique lo contrario, en este plan de estudios, el nivel del mar se refiere al nivel medio global del mar."
"Grade 7",5,10,"Thermal expansion","The tendency of particles to move farther apart in volume as heat is added; for example, an increase in ocean volume due to thermal energy transfer from the atmosphere. The result is a rising global mean sea level.","Expansión térmica","La tendencia de las partículas a moverse más lejos en volumen a medida que se agrega calor; por ejemplo, un aumento en el volumen del océano debido a la transferencia de energía térmica de la atmósfera. El resultado es un aumento global del nivel promedio del mar."
"Grade 7",5,11,"Sea level","The height of the ocean surface at any given location.","Nivel del mar ","La altura de la superficie del océano en cualquier locación. El nivel del mar se ha medido en los últimos siglos utilizando mareómetros y también se ha estimado en el pasado usando registros geológicos. El nivel del mar geocéntrico (represetando la tierra al centro del universo) se ha medido en las últimas dos décadas utilizando la altimetría satelital. El nivel promedio del mar es el promedio de un lugar eliminando la variabilidad en períodos más cortos. A menos que se especifique lo contrario, en este plan de estudios, el nivel del mar se refiere al nivel medio global del mar."
"Grade 7",5,11,"Thermal expansion","The tendency of particles to move farther apart in volume as heat is added; for example, an increase in ocean volume due to thermal energy transfer from the atmosphere. The result is a rising global mean sea level.","Expansión térmica","La tendencia de las partículas a moverse más lejos en volumen a medida que se agrega calor; por ejemplo, un aumento en el volumen del océano debido a la transferencia de energía térmica de la atmósfera. El resultado es un aumento global del nivel promedio del mar."
"Grade 7",5,12,"Storm surge","An abnormal rise in sea level accompanying a hurricane or other intense storm. Its height is the difference between the observed level of the sea surface and the level that would have occurred in the absence of the storm.","Marejada Ciclónica","Un aumento anormal en el nivel del mar que acompaña a un huracán u otra tormenta intensa. Su altura es la diferencia entre el nivel observado de la superficie del mar y el nivel que ocurriría en ausencia de la tormenta."
"Grade 7",5,13,"Adaptation","The ability of natural and human systems to adjust to new or changing environments such as those with increased flooding, an effect of climate change.","Adaptación","La capacidad de los sistemas naturales y humanos para adaptarse a nuevos o medio ambientes cambiantes, como esos con un incremento en inundaciones, un efecto del cambio climático."
"Grade 7",5,13,"Flood","An overflow of water onto normally dry land.","Inundación","Desborde o exceso de agua sobre tierra normalmente seca."
"Grade 7",5,13,"Infrastructure","The basic physical and organizational structures and facilities, such as buildings, roads, and power supplies, needed for the operation of a society, enterprise, or business.","Infraestructura","Las estructuras físicas y organizativas y las instalaciones como edificios, carreteras y suministros de energía, las cuales son necesarias para el funcionamiento de una sociedad, empresa o negocio."
"Grade 7",5,13,"Levee","A long ridge of sand, silt, and clay built up along a river`s banks to prevent overflow.","Dique","Una larga cresta de arena, limo y barro colocada a lo largo de las orillas de un río para evitar el desbordamiento."
"Grade 7",5,13,"Mitigation","The effort to reduce loss of life and property by minimizing the impact of disasters.","Mitigación","Esfuerzo para reducir la pérdida de vidas y propiedad, dirigido a minimizar el impacto de desastres."
"Grade 7",5,14,"Adaptation","The ability of natural and human systems to adjust to new or changing environments such as those with increased flooding, an effect of climate change.","Adaptación","La capacidad de los sistemas naturales y humanos para adaptarse a nuevos o medio ambientes cambiantes, como esos con un incremento en inundaciones, un efecto del cambio climático."
"Grade 7",5,14,"Flood","An overflow of water onto normally dry land.","Inundación","Desborde o exceso de agua sobre tierra normalmente seca."
"Grade 7",5,14,"100-year flood","A flood event that has a 1% probability of occurring in any given year. The 100-year flood is also referred to as the 1% flood, since its annual exceedance probability is 1%. The volume of water that causes a flood of this magnitude in a certain span of time or area varies with geography.","Inundación de 100 años  ","Un evento de inundación que tiene un 1% de probabilidad de ocurrir en cualquier año. La inundación de cada 100 años también se conoce como la inundación del 1%, ya que su probabilidad anual de sobrepaso es de 1%. El volumen de agua que causa una inundación de esta magnitud en un momento   o área en particular varía con la geografía."
"Grade 7",5,14,"Infrastructure","The basic physical and organizational structures and facilities, such as buildings, roads, and power supplies, needed for the operation of a society, enterprise, or business.","Infraestructura","Las estructuras físicas y organizativas y las instalaciones como edificios, carreteras y suministros de energía, las cuales son necesarias para el funcionamiento de una sociedad, empresa o negocio."
"Grade 7",5,14,"Levee","A long ridge of sand, silt, and clay built up along a river`s banks to prevent overflow.","Dique","Una larga cresta de arena, limo y barro colocada a lo largo de las orillas de un río para evitar el desbordamiento."
"Grade 7",5,14,"Mitigation","The effort to reduce loss of life and property by minimizing the impact of disasters.","Mitigación","Esfuerzo para reducir la pérdida de vidas y propiedad, dirigido a minimizar el impacto de desastres."
"Grade 7",5,15,"Vector-borne","Illness, or disease, from infections transmitted to humans and other animals by blood-feeding arthropods (e.g. mosquitoes, ticks, and fleas).","Transmitido por vectores","Enfermedad, o malestar, causada por infecciones transmitidas a humanos y otros animales por artrópodos que se alimentan de sangre (por ejemplo, mosquitos, garrapatas y pulgas)."
"Grade 7",5,15,"Waterborne disease","Illness caused by microorganisms in untreated or contaminated water.","Enfermedad transmitida por el agua","Enfermedades causadas por microorganismos en aguas contaminadas o que no son tratadas"
"Grade 7",5,16,"Filter","A material that can be used to pass fluid while retaining particles above a certain size.","Filtro","Un material que se puede usar para pasar un fluido y al mismo tiempo retener partículas de cierto tamaño."
"Grade 7",5,16,"Inundate","To flood, cover, or overspread with water.","Inundar","Inundar, cubrir, o extender con agua."
"Grade 7",5,17,"Infrastructure","The basic physical and organizational structures and facilities, such as buildings, roads, and power supplies, needed for the operation of a society, enterprise, or business.","Infraestructura","Las estructuras físicas y organizativas y las instalaciones como edificios, carreteras y suministros de energía, las cuales son necesarias para el funcionamiento de una sociedad, empresa o negocio."
"Grade 7",5,21,"Adaptation","The ability of natural and human systems to adjust to new or changing environments such as those with increased flooding, an effect of climate change.","Adaptación","La capacidad de los sistemas naturales y humanos para adaptarse a nuevos o medio ambientes cambiantes, como esos con un incremento en inundaciones, un efecto del cambio climático."
"Grade 7",5,21,"Resilience","The ability to prepare and plan for, absorb, recover from, and more successfully adapt to adverse events.","Resistencia","La capacidad de prepararse y planificar, absorber, recuperarse y adaptarse a los eventos adversos con más éxito."
"Grade 7",5,21,"Simulation","Something that is made to look, feel, or behave like something else so it can be studied.","Simulación","Algo que se crea para que parezca, se sienta, o se comporte como otra cosa para que pueda ser estudiado."
"Grade 7",5,22,"Mitigation","The effort to reduce loss of life and property by minimizing the impact of disasters.","Mitigación","Esfuerzo para reducir la pérdida de vidas y propiedad, dirigido a minimizar el impacto de desastres."
"Grade 7",5,22,"Natural hazard","Something that takes place in nature that causes harm, such as flooding, hurricanes, wildfires, and so on. Sometimes, one natural hazard can lead to another, such as when heavy precipitation during a hurricane causes flooding.","Amenazas naturales","Acontecimiento que ocurre en la naturaleza que causa daños, como inundaciones, huracanes, incendios forestales, etc. Algunas veces, una amenaza natural puede causar otra, como cuando una precipitación fuerte durante un huracán causa inundaciones."
"Grade 7",5,22,"Resilience","The ability to prepare and plan for, absorb, recover from, and more successfully adapt to adverse events.","Resistencia","La capacidad de prepararse y planificar, absorber, recuperarse y adaptarse a los eventos adversos con más éxito."
"Grade 7",5,23,"Adaptation","The ability of natural and human systems to adjust to new or changing environments such as those with increased flooding, an effect of climate change.","Adaptación","La capacidad de los sistemas naturales y humanos para adaptarse a nuevos o medio ambientes cambiantes, como esos con un incremento en inundaciones, un efecto del cambio climático."
"Grade 7",5,23,"Mitigation","The effort to reduce loss of life and property by minimizing the impact of disasters.","Mitigación","Esfuerzo para reducir la pérdida de vidas y propiedad, dirigido a minimizar el impacto de desastres."
"Grade 7",5,23,"Natural disaster","The effects of a natural hazard on humanity.","Desastre natural","Los efectos de un peligro natural a la humanidad."
"Grade 7",5,23,"Natural hazard","Something that takes place in nature that causes harm, such as flooding, hurricanes, wildfires, and so on. Sometimes, one natural hazard can lead to another, such as when heavy precipitation during a hurricane causes flooding.","Amenazas naturales","Acontecimiento que ocurre en la naturaleza que causa daños, como inundaciones, huracanes, incendios forestales, etc. Algunas veces, una amenaza natural puede causar otra, como cuando una precipitación fuerte durante un huracán causa inundaciones."
"Grade 7",5,23,"Resilience","The ability to prepare and plan for, absorb, recover from, and more successfully adapt to adverse events.","Resistencia","La capacidad de prepararse y planificar, absorber, recuperarse y adaptarse a los eventos adversos con más éxito."
"Grade 7",5,24,"Adaptation","The ability of natural and human systems to adjust to new or changing environments such as those with increased flooding, an effect of climate change.","Adaptación","La capacidad de los sistemas naturales y humanos para adaptarse a nuevos o medio ambientes cambiantes, como esos con un incremento en inundaciones, un efecto del cambio climático."
"Grade 7",5,24,"Mitigation","The effort to reduce loss of life and property by minimizing the impact of disasters.","Mitigación","Esfuerzo para reducir la pérdida de vidas y propiedad, dirigido a minimizar el impacto de desastres."
"Grade 7",5,24,"Natural disaster","The effects of a natural hazard on humanity.","Desastre natural","Los efectos de un peligro natural a la humanidad."
"Grade 7",5,24,"Natural hazard","Something that takes place in nature that causes harm, such as flooding, hurricanes, wildfires, and so on. Sometimes, one natural hazard can lead to another, such as when heavy precipitation during a hurricane causes flooding.","Amenazas naturales","Acontecimiento que ocurre en la naturaleza que causa daños, como inundaciones, huracanes, incendios forestales, etc. Algunas veces, una amenaza natural puede causar otra, como cuando una precipitación fuerte durante un huracán causa inundaciones."
"Grade 7",5,24,"Resilience","The ability to prepare and plan for, absorb, recover from, and more successfully adapt to adverse events.","Resistencia","La capacidad de prepararse y planificar, absorber, recuperarse y adaptarse a los eventos adversos con más éxito."
"Grade 7",6,9,"Ecosystem","A natural community of plants, animals, and other living organisms and the physical environment in which they live and interact.","Ecosistema","Una comunidad natural de plantas, animales y otros organismos vivos y el ambiente físico en el que viven e interactúan."
"Grade 7",6,9,"Abiotic","Non-living; the part of an ecosystem that is not the product of a life process (i.e., light, air, water, soil).","Abiótico","No tiene vida; la parte de un ecosistema que no es producto de un proceso de vida (es decir, luz, aire, agua, suelo)."
"Grade 7",6,9,"Biotic","Living or of life, or having once been alive; of or pertaining to living organisms.","Biótico","Vivo o parte de la vida, o ha estado vivo, o perteneciente a organismos vivos."
"Grade 7",6,9,"System","An assemblage of interrelated parts or conditions through which matter, energy, and information flow.","Sistema","Un conjunto de partes interrelacionadas o condiciones a través de las cuales hay un flujo de materia, energía y de información."
"Grade 7",6,9,"Cultural","The part of the environment that represents human-made features (e.g., roads, buildings, canals, bridges), as opposed to natural features.","Cultural","La parte del medio ambiente que representa características creadas por el hombre (por ejemplo, carreteras, edificios, canales, puentes), a diferencia de las características naturales."
"Grade 7",6,27,"Inference","An educated guess based on certain evidence.","Inferencia","Una suposición educada basada en cierta evidencia."
"Grade 7",6,30,"Introspection","Observation or examination of one`s own mental and emotional state, mental processes, and so on; the act of looking within oneself.","Introspección","Observación o examinación del estado mental y emocional propio, los procesos mentales, etc. El acto de mirar dentro de uno mismo."
"Grade 8",1,4,"Force","A push or pull used to lift something, start it moving, or hold it in place against another force, such as gravity.","Fuerza","Una empujón o jalón usado para levantar algo, empezarlo a mover, o permanecer en un lugar en contra de otra fuerza, como la gravedad."
"Grade 8",1,4,"Gravity","A force by which a planet or other body draws objects toward its center. The force of gravity keeps all of the planets in orbit around the Sun.","Gravedad","Una fuerza por la cual un planeta u otro cuerpo atrae objetos hacia su centro. La fuerza de gravedad retiene a todos los planetas en órbita alrededor del sol."
"Grade 8",1,4,"Magnetism","A physical phenomenon produced by the motion of electric charge, resulting in attractive and repulsive forces between objects.","Magnetismo","Un fenómeno físico producido por el movimiento de carga eléctrica, resultando en la atracción y repulsión de fuerzas entre objetos."
"Grade 8",1,4,"Non-contact forces","Forces that act on an object without physically coming into contact with it.","Fuerzas sin contacto.","Fuerzas que actuan en un objeto sin tener que estar en contacto físico."
